104.149.220.58 - - [29/Dec/2014:22:37:21 -0500] "GET /top/?action=filesystem&curPath=/opt/tomcat/webapps/manager/WEB-INF/ HTTP/1.1" 200 6304
104.149.220.58 - - [29/Dec/2014:22:37:22 -0500] "GET /top/?action=filesystem&curPath=/opt/tomcat/webapps/manager/WEB-INF/jsp/ HTTP/1.1" 200 8635
104.149.220.58 - - [29/Dec/2014:22:37:26 -0500] "POST /top/?action=filesystem&curPath=/opt/tomcat/webapps/manager/WEB-INF/jsp/&fsAction=deleteFile HTTP/1.1" 200 2292
104.149.220.58 - - [29/Dec/2014:22:37:29 -0500] "GET /top/?action=filesystem&curPath=/opt/tomcat/webapps/manager/WEB-INF/jsp/ HTTP/1.1" 200 5324
104.149.220.58 - - [29/Dec/2014:22:37:30 -0500] "GET /top/?action=filesystem&curPath=/opt/tomcat/webapps/manager/WEB-INF/ HTTP/1.1" 200 6304
104.149.220.58 - - [29/Dec/2014:22:37:33 -0500] "POST /top/?action=filesystem&curPath=/opt/tomcat/webapps/manager/WEB-INF/&fsAction=deleteFile HTTP/1.1" 200 2284
104.149.220.58 - - [29/Dec/2014:22:37:35 -0500] "GET /top/?action=filesystem&curPath=/opt/tomcat/webapps/manager/WEB-INF/ HTTP/1.1" 200 5288
104.149.220.58 - - [29/Dec/2014:22:37:43 -0500] "GET /top/?action=filesystem&curPath=/opt/tomcat/webapps/manager/ HTTP/1.1" 200 7636
104.149.220.58 - - [29/Dec/2014:22:38:00 -0500] "GET /top/?action=command HTTP/1.1" 200 2274
104.149.220.58 - - [29/Dec/2014:22:38:04 -0500] "POST /top/?action=command HTTP/1.1" 200 8716
104.149.220.58 - - [29/Dec/2014:22:38:19 -0500] "GET /top/7.jsp HTTP/1.1" 404 1012
104.149.220.58 - - [29/Dec/2014:22:38:27 -0500] "GET /top/fuck.jsp HTTP/1.1" 200 9444
104.149.220.58 - - [29/Dec/2014:22:38:34 -0500] "GET /top/fuck.jsp?first&uplMonitor=C%3A%5Cfakepath%5CL24 HTTP/1.1" 200 1815
104.149.220.58 - - [29/Dec/2014:22:38:36 -0500] "GET /top/fuck.jsp?uplMonitor=C%3A%5Cfakepath%5CL24 HTTP/1.1" 200 1824
104.149.220.58 - - [29/Dec/2014:22:38:36 -0500] "POST /top/fuck.jsp HTTP/1.1" 200 10185
104.149.220.58 - - [29/Dec/2014:22:38:38 -0500] "GET /top/fuck.jsp?uplMonitor=C%3A%5Cfakepath%5CL24 HTTP/1.1" 200 1517
104.149.220.58 - - [29/Dec/2014:22:38:47 -0500] "GET /top/ HTTP/1.1" 200 5892
104.149.220.58 - - [29/Dec/2014:22:38:51 -0500] "GET /top/?action=filesystem HTTP/1.1" 200 7178
104.149.220.58 - - [29/Dec/2014:22:39:32 -0500] "GET /top/?action=command HTTP/1.1" 200 2274
104.149.220.58 - - [29/Dec/2014:22:39:36 -0500] "POST /top/?action=command HTTP/1.1" 200 2311
104.149.220.58 - - [29/Dec/2014:22:39:49 -0500] "POST /top/?action=command HTTP/1.1" 200 2326
104.149.220.58 - - [29/Dec/2014:22:40:02 -0500] "POST /top/?action=command HTTP/1.1" 200 9290
